2014/1/1,Philadelphia,/teams/PHI/2014.html,114,Denver,/teams/DEN/2014.html,102,Philadelphia,24,44,27,19,Denver,30,26,25,21,,,,,,
2014/1/1,Charlotte,/teams/CHA/2014.html,85,LA Clippers,/teams/LAC/2014.html,112,Charlotte,27,29,13,16,LA Clippers,25,31,25,31,,,,,,
2014/1/1,New Orleans,/teams/NOP/2014.html,112,Minnesota,/teams/MIN/2014.html,124,New Orleans,28,19,26,39,Minnesota,33,28,36,27,,,,,,
2014/1/1,Indiana,/teams/IND/2014.html,82,Toronto,/teams/TOR/2014.html,95,Indiana,18,26,19,19,Toronto,26,14,26,29,,,,,,
2014/1/1,Dallas,/teams/DAL/2014.html,87,Washington,/teams/WAS/2014.html,78,Dallas,25,14,20,28,Washington,20,22,19,17,,,,,,
2013/12/31,Atlanta,/teams/ATL/2014.html,92,Boston,/teams/BOS/2014.html,91,Atlanta,20,19,23,30,Boston,23,21,23,24,,,,,,
2013/12/31,Toronto,/teams/TOR/2014.html,85,Chicago,/teams/CHI/2014.html,79,Toronto,21,15,21,28,Chicago,16,26,20,17,,,,,,
2013/12/31,Sacramento,/teams/SAC/2014.html,110,Houston,/teams/HOU/2014.html,106,Sacramento,29,29,22,30,Houston,24,28,34,20,,,,,,
2013/12/31,Cleveland,/teams/CLE/2014.html,76,Indiana,/teams/IND/2014.html,91,Cleveland,25,19,22,10,Indiana,23,18,24,26,,,,,,
2013/12/31,Milwaukee,/teams/MIL/2014.html,94,LA Lakers,/teams/LAL/2014.html,79,Milwaukee,23,19,32,20,LA Lakers,12,21,27,19,,,,,,
2013/12/31,Portland,/teams/POR/2014.html,98,Oklahoma City,/teams/OKC/2014.html,94,Portland,24,18,29,27,Oklahoma City,30,24,24,16,,,,,,
2013/12/31,Golden State,/teams/GSW/2014.html,94,Orlando,/teams/ORL/2014.html,81,Golden State,26,32,16,20,Orlando,15,20,24,22,,,,,,
2013/12/31,Brooklyn,/teams/BRK/2014.html,92,San Antonio,/teams/SAS/2014.html,113,Brooklyn,20,16,32,24,San Antonio,30,29,39,15,,,,,,
2013/12/30,Miami,/teams/MIA/2014.html,97,Denver,/teams/DEN/2014.html,94,Miami,29,17,26,25,Denver,30,25,22,17,,,,,,
2013/12/30,Washington,/teams/WAS/2014.html,106,Detroit,/teams/DET/2014.html,99,Washington,33,20,25,28,Detroit,32,31,24,12,,,,,,
