0,Miami,Boston,0.0
1,Toronto,Brooklyn,1.0
0,Philadelphia,Chicago,0.0
0,Orlando,Charlotte,0.0
1,Detroit,Cleveland,0.0
1,San Antonio,Dallas,0.0
0,Memphis,Golden State,0.0
0,Sacramento,Houston,0.0
0,Utah,LA Lakers,1.0
1,Indiana,Milwaukee,0.0
0,New Orleans,Minnesota,0.0
0,LA Clippers,Phoenix,1.0
0,Denver,Portland,0.0
0,Atlanta,Washington,0.0
1,Miami,Detroit,0.0
0,New York,Indiana,0.0
0,Memphis,LA Clippers,0.0
0,Oklahoma City,San Antonio,0.0
0,Philadelphia,Toronto,0.0
1,Charlotte,Boston,0.0
1,Washington,Brooklyn,1.0
0,Atlanta,Cleveland,0.0
1,Houston,Minnesota,1.0
1,Chicago,New Orleans,0.0
0,LA Lakers,Oklahoma City,0.0
0,Milwaukee,Orlando,0.0
1,Sacramento,Phoenix,0.0
1,Dallas,Utah,0.0
1,Utah,Denver,0.0
0,LA Lakers,Houston,0.0
0,Brooklyn,Indiana,0.0
0,Dallas,LA Clippers,0.0
0,Orlando,Miami,0.0
1,Toronto,New York,1.0
1,Milwaukee,Philadelphia,1.0
1,Golden State,San Antonio,0.0
0,Charlotte,Washington,0.0
0,Boston,Atlanta,0.0
0,Cleveland,Chicago,0.0
1,Golden State,Memphis,1.0
1,Phoenix,New Orleans,0.0
1,Minnesota,Portland,0.0
0,Oklahoma City,Sacramento,1.0
0,Milwaukee,Boston,0.0
0,Brooklyn,Charlotte,0.0
0,Memphis,Dallas,0.0
0,San Antonio,Denver,1.0
0,Washington,Detroit,0.0
0,LA Lakers,New Orleans,0.0
0,Miami,Orlando,0.0
1,New York,Philadelphia,1.0
0,Indiana,Toronto,0.0
1,LA Clippers,Utah,0.0
0,Toronto,Atlanta,0.0
0,San Antonio,Golden State,0.0
1,Phoenix,Houston,0.0
0,Chicago,Miami,0.0
1,Minnesota,Sacramento,0.0
0,New Orleans,Boston,0.0
0,Houston,Dallas,0.0
0,Cleveland,Indiana,0.0
1,LA Clippers,LA Lakers,1.0
1,Charlotte,New York,0.0
1,Detroit,Orlando,0.0
0,Oklahoma City,Portland,0.0
0,Brooklyn,Washington,0.0
0,Phoenix,Atlanta,0.0
